loss_type: rbp_80, lr: 3.0, frac: 5.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.6191, AP = 0.3344, RR = 0.5865, RBP_80 = 0.2765, RBP_90 = 0.2226, RBP_95 = 0.1704, 
loss_type: rbp_80, lr: 10.0, frac: 5.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.5911, AP = 0.3057, RR = 0.5072, RBP_80 = 0.2497, RBP_90 = 0.2113, RBP_95 = 0.1656, 
loss_type: rbp_90, lr: 0.001, frac: 5.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.7918, AP = 0.5697, RR = 0.8691, RBP_80 = 0.4953, RBP_90 = 0.3409, RBP_95 = 0.2202, 
loss_type: rbp_90, lr: 0.01, frac: 5.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.7946, AP = 0.5734, RR = 0.8748, RBP_80 = 0.4981, RBP_90 = 0.3419, RBP_95 = 0.2205, 
loss_type: rbp_90, lr: 0.1, frac: 5.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.7934, AP = 0.5709, RR = 0.8746, RBP_80 = 0.4946, RBP_90 = 0.3399, RBP_95 = 0.2198, 
loss_type: rbp_90, lr: 1.0, frac: 5.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.6112, AP = 0.3587, RR = 0.4178, RBP_80 = 0.2891, RBP_90 = 0.2535, RBP_95 = 0.1903, 
loss_type: rbp_90, lr: 3.0, frac: 5.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.6191, AP = 0.3344, RR = 0.5865, RBP_80 = 0.2765, RBP_90 = 0.2226, RBP_95 = 0.1704, 
loss_type: rbp_90, lr: 10.0, frac: 5.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.5911, AP = 0.3057, RR = 0.5072, RBP_80 = 0.2496, RBP_90 = 0.2113, RBP_95 = 0.1656, 
loss_type: rbp_95, lr: 0.001, frac: 5.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.7917, AP = 0.5697, RR = 0.8689, RBP_80 = 0.4953, RBP_90 = 0.3409, RBP_95 = 0.2202, 
loss_type: rbp_95, lr: 0.01, frac: 5.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.7942, AP = 0.573, RR = 0.874, RBP_80 = 0.4978, RBP_90 = 0.3419, RBP_95 = 0.2205, 
