loss_type,lr,threshold,reg,fold,frac,emb_size,NDCG@5,NDCG,RR,AP,RBP_80,RBP_90,RBP_95
rbp_95,1.0,4,0,1,2.0,32,0.5357,0.7712,0.7255,0.5735,0.4661,0.3625,0.2455
rbp_80,3.0,4,0,1,2.0,32,0.5438,0.7699,0.705,0.5745,0.4686,0.3628,0.2451
rbp_90,3.0,4,0,1,2.0,32,0.5434,0.7698,0.7045,0.5745,0.4685,0.3628,0.2452
rbp_95,3.0,4,0,1,2.0,32,0.5434,0.7698,0.7044,0.5745,0.4685,0.3628,0.2452
rbp_80,10.0,4,0,1,2.0,32,0.4298,0.716,0.6809,0.4799,0.3838,0.3148,0.2252
rbp_90,10.0,4,0,1,2.0,32,0.4298,0.716,0.6809,0.48,0.3838,0.3148,0.2252
rbp_95,10.0,4,0,1,2.0,32,0.4297,0.7159,0.6805,0.4799,0.3838,0.3148,0.2252
rr,0.001,4,0,1,2.0,32,0.3339,0.6666,0.5574,0.4238,0.3266,0.2898,0.2161
rr,0.01,4,0,1,2.0,32,0.3338,0.6669,0.5589,0.424,0.3268,0.2898,0.2161
rr,0.1,4,0,1,2.0,32,0.4017,0.7015,0.6919,0.451,0.3574,0.2975,0.2173
rr,1.0,4,0,1,2.0,32,0.4197,0.7107,0.7209,0.4596,0.3665,0.3002,0.218
rr,3.0,4,0,1,2.0,32,0.4326,0.7173,0.7292,0.4681,0.3743,0.3036,0.2191
rr,10.0,4,0,1,2.0,32,0.4387,0.7190000000000001,0.7327,0.4701,0.377,0.3047,0.2194
dcg,0.001,4,0,1,5.0,32,0.1678,0.5271,0.3688,0.2375,0.16699999999999998,0.1633,0.1441
ndcg_5,0.001,4,0,1,5.0,32,0.1678,0.5271,0.3688,0.2375,0.16699999999999998,0.1633,0.1441
dcg,0.01,4,0,1,5.0,32,0.1935,0.5426,0.4125,0.2516,0.1837,0.1718,0.1476
ndcg_5,0.01,4,0,1,5.0,32,0.1935,0.5426,0.4125,0.2516,0.1837,0.1718,0.1476
dcg,0.1,4,0,1,5.0,32,0.5836,0.7645,0.8304,0.5271,0.4532,0.3189,0.2121
ndcg_5,0.1,4,0,1,5.0,32,0.5836,0.7645,0.8304,0.5271,0.4532,0.3189,0.2121
dcg,1.0,4,0,1,5.0,32,0.6219,0.7873,0.8649,0.56,0.4786,0.3346,0.2207
ndcg_5,1.0,4,0,1,5.0,32,0.6224,0.7869,0.8614,0.5606,0.4792,0.3352,0.2209
dcg,3.0,4,0,1,5.0,32,0.6218,0.7873,0.8658,0.5598,0.4783,0.3344,0.2207
ndcg_5,3.0,4,0,1,5.0,32,0.6227,0.787,0.8626,0.5605,0.4792,0.3351,0.2208
dcg,10.0,4,0,1,5.0,32,0.6211,0.7871,0.8658,0.5595,0.478,0.3343,0.2206
ndcg_5,10.0,4,0,1,5.0,32,0.6211,0.7871,0.865,0.5597,0.4783,0.3345,0.2207
rbp_80,0.001,4,0,1,5.0,32,0.6431,0.7919,0.8697,0.5695,0.4951,0.3408,0.2202
rbp_90,0.001,4,0,1,5.0,32,0.6431,0.7919,0.8697,0.5695,0.4951,0.3408,0.2202
